MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR0001,North,Residential,2025-05-21,135,32.64,114,Active,8.63
MTR0002,North,Residential,2025-02-17,118,26.08,91,Active,8.31
MTR0003,South,Commercial,2025-10-29,287,52.02,19,Active,9.84
MTR0004,North,Residential,2025-07-14,117,31.04,93,Active,5.37
MTR0005,East,Residential,2025-10-10,181,40.53,90,Active,9.13
MTR0006,Central,Residential,2025-04-30,143,33.52,46,Active,6.99
MTR0007,Central,Industrial,2025-12-16,1124,242.95,31,Active,7.16
MTR0008,West,Residential,2025-12-17,147,38.94,51,Active,5.98
MTR0009,West,Industrial,2025-06-11,1041,290.69,82,Active,6.35
MTR0010,South,Industrial,2025-10-15,1132,318.78,51,Active,11.48
MTR0011,South,Industrial,2025-09-10,611,142.33,101,Active,8.67
MTR0012,East,Commercial,2025-11-02,570,156.72,1,Active,5.3
MTR0013,West,Commercial,2025-11-25,342,50.78,0,Faulty,10.63
MTR0014,Central,Industrial,2025-04-02,1158,314.4,64,Active,5.57
MTR0015,South,Industrial,2025-09-29,873,107.82,118,Active,11.4
MTR0016,Central,Residential,2025-01-30,131,32.98,104,Active,9.82
MTR0017,South,Residential,2025-12-04,214,46.01,77,Active,5.98
MTR0018,West,Industrial,2025-12-20,935,185.93,66,Active,6.24
MTR0019,North,Commercial,2025-01-11,541,65.62,90,Active,6.1
MTR0020,North,Commercial,2025-02-06,413,65.49,16,Active,10.68
MTR0021,West,Commercial,2025-05-05,450,61.85,55,Active,7.38
MTR0022,North,Industrial,2025-12-01,593,148.89,102,Faulty,6.24
MTR0023,South,Industrial,2025-08-18,702,142.7,111,Faulty,7.6
MTR0024,West,Residential,2025-01-26,237,67.96,108,Active,7.34
MTR0025,East,Residential,2025-07-25,75,22.3,33,Faulty,10.0
MTR0026,Central,Commercial,2025-12-23,587,90.5,27,Faulty,8.55
MTR0027,West,Residential,2025-06-10,135,28.42,109,Active,4.9
MTR0028,West,Residential,2025-04-06,107,20.62,120,Faulty,6.22
MTR0029,West,Residential,2025-11-14,146,25.83,33,Active,9.51
MTR0030,South,Commercial,2025-07-22,611,123.61,118,Active,5.01
MTR0031,East,Industrial,2025-10-16,1057,223.09,16,Faulty,10.67
MTR0032,South,Commercial,2025-05-26,492,113.21,103,Active,4.55
MTR0033,West,Commercial,2025-12-06,312,87.41,95,Active,6.41
MTR0034,West,Residential,2025-06-25,176,36.6,115,Faulty,4.86
MTR0035,East,Commercial,2025-01-23,433,64.55,56,Active,7.49
MTR0036,North,Residential,2025-02-08,145,32.6,18,Active,4.79
MTR0037,Central,Residential,2025-07-03,126,23.14,71,Faulty,7.34
MTR0038,West,Industrial,2025-03-21,713,88.74,94,Faulty,9.98
MTR0039,East,Industrial,2025-05-08,638,176.72,109,Active,5.9
MTR0040,East,Commercial,2025-06-06,368,70.55,35,Faulty,11.27
MTR0041,Central,Commercial,2025-11-25,502,90.16,3,Active,11.29
MTR0042,South,Industrial,2025-05-16,1145,208.65,100,Active,8.74
MTR0043,West,Residential,2025-07-17,212,52.49,0,Active,10.15
MTR0044,South,Commercial,2025-08-09,610,146.04,15,Active,6.6
MTR0045,Central,Industrial,2025-07-29,852,121.76,53,Active,7.15
MTR0046,South,Industrial,2025-10-19,1041,181.86,26,Active,8.56
MTR0047,Central,Commercial,2025-08-15,640,131.31,115,Faulty,9.65
MTR0048,North,Commercial,2025-09-21,596,81.54,96,Active,6.67
MTR0049,South,Residential,2025-01-13,80,16.16,113,Active,5.86
MTR0050,East,Commercial,2025-07-24,305,85.61,110,Active,5.25
MTR0051,East,Residential,2025-04-01,223,63.59,15,Active,10.11
MTR0052,West,Industrial,2025-11-01,1171,230.47,116,Active,10.78
MTR0053,East,Commercial,2025-05-13,622,128.9,30,Active,5.04
MTR0054,Central,Residential,2025-05-20,155,22.46,29,Active,5.57
MTR0055,South,Residential,2025-08-01,223,43.45,26,Active,7.23
MTR0056,West,Industrial,2025-01-11,968,280.42,38,Active,10.47
MTR0057,East,Industrial,2025-10-07,1007,170.31,62,Active,6.85
MTR0058,East,Industrial,2025-03-26,1185,147.95,50,Active,9.14
MTR0059,North,Industrial,2025-08-08,672,112.11,41,Active,6.79
MTR0060,East,Commercial,2025-08-04,273,69.57,6,Faulty,6.95
MTR0061,North,Industrial,2025-01-21,686,159.04,30,Active,9.19
MTR0062,West,Residential,2025-08-27,139,36.14,20,Faulty,5.26
MTR0063,North,Commercial,2025-10-22,442,100.15,106,Active,5.21
MTR0064,Central,Industrial,2025-11-04,566,122.2,84,Active,8.04
MTR0065,Central,Residential,2025-08-04,231,54.15,106,Active,5.57
MTR0066,South,Industrial,2025-09-25,1178,305.61,59,Active,9.62
MTR0067,Central,Commercial,2025-05-06,403,102.8,72,Active,7.15
MTR0068,North,Commercial,2025-06-16,524,138.13,43,Active,8.67
MTR0069,Central,Industrial,2025-01-06,597,149.02,62,Active,6.18
MTR0070,East,Industrial,2025-12-31,508,87.86,51,Active,6.64
MTR0071,West,Commercial,2025-08-31,555,166.16,70,Active,9.42
MTR0072,Central,Commercial,2025-05-09,331,46.84,68,Faulty,9.33
MTR0073,South,Residential,2025-09-05,166,49.22,106,Active,6.09
MTR0074,South,Commercial,2025-01-08,299,88.32,70,Active,11.11
MTR0075,East,Residential,2025-01-07,267,53.21,23,Faulty,6.27
MTR0076,East,Residential,2025-02-03,168,24.75,103,Active,6.63
MTR0077,South,Residential,2025-10-13,194,50.37,48,Active,7.6
MTR0078,West,Commercial,2025-06-06,559,162.43,26,Active,6.35
MTR0079,North,Residential,2025-05-03,124,14.94,57,Active,7.79
